book_id,title,authors,average_rating,ratings_count,original_publication_year,language_code
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,4780653,2008.0,eng
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",4.44,4602479,1997.0,eng
3,"Twilight (Twilight, #1)",Stephenie Meyer,3.57,3866839,2005.0,en-US
4,To Kill a Mockingbird,Harper Lee,4.25,3198671,1960.0,eng
5,The Great Gatsby,F. Scott Fitzgerald,3.89,2683664,1925.0,eng
6,The Fault in Our Stars,John Green,4.26,2346404,2012.0,eng
7,The Hobbit,J.R.R. Tolkien,4.25,2071616,1937.0,en-US
8,The Catcher in the Rye,J.D. Salinger,3.79,2044241,1951.0,eng
9,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,3.85,2001311,2000.0,en-CA
10,Pride and Prejudice,Jane Austen,4.24,2035490,1813.0,eng
11,The Kite Runner,Khaled Hosseini,4.26,1813044,2003.0,eng
12,"Divergent (Divergent, #1)",Veronica Roth,4.24,1903563,2011.0,eng
13,1984,"George Orwell, Erich Fromm, Celâl Üster",4.14,1956832,1949.0,eng
14,Animal Farm,George Orwell,3.87,1881700,1945.0,eng
15,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",4.1,1972666,1947.0,eng
16,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",4.11,1808403,2005.0,eng
17,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.3,1831039,2009.0,eng
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",4.53,1832823,1999.0,eng
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.34,1766803,1954.0,eng
20,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.03,1719760,2010.0,eng
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",4.46,1735368,2003.0,eng
22,The Lovely Bones,Alice Sebold,3.77,1605173,2002.0,eng
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",4.37,1779331,1998.0,eng
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",4.53,1753043,2000.0,eng
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",4.61,1746574,2007.0,eng
26,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.79,1447148,2003.0,eng
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",4.54,1678823,2005.0,eng
28,Lord of the Flies,William Golding,3.64,1605019,1954.0,eng
29,Romeo and Juliet,"William Shakespeare, Robert           Jackson",3.73,1628519,1595.0,eng
30,Gone Girl,Gillian Flynn,4.03,512475,2012.0,eng
31,The Help,Kathryn Stockett,4.45,1531753,2009.0,eng
32,Of Mice and Men,John Steinbeck,3.84,1467496,1937.0,eng
33,Memoirs of a Geisha,Arthur Golden,4.08,1300209,1997.0,eng
34,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,1338493,2011.0,eng
35,The Alchemist,"Paulo Coelho, Alan R. Clarke",3.82,1299566,1988.0,eng
36,"The Giver (The Giver, #1)",Lois Lowry,4.12,1296825,1993.0,eng
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.19,1531800,1950.0,eng
38,The Time Traveler's Wife,Audrey Niffenegger,3.95,746287,2003.0,eng
39,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,1319204,1996.0,eng
40,"Eat, Pray, Love",Elizabeth Gilbert,3.51,1181647,2006.0,eng
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.23,1366265,2005.0,eng
42,"Little Women (Little Women, #1)",Louisa May Alcott,4.04,1257121,1868.0,en-US
43,Jane Eyre,"Charlotte Brontë, Michael Mason",4.1,1198557,1847.0,eng
44,"The Notebook (The Notebook, #1)",Nicholas Sparks,4.06,1053403,1996.0,eng
46,Water for Elephants,Sara Gruen,4.07,1068146,2006.0,eng
47,The Book Thief,Markus Zusak,4.36,1159741,2005.0,eng
48,Fahrenheit 451,Ray Bradbury,3.97,570498,1953.0,spa
49,"New Moon (Twilight, #2)",Stephenie Meyer,3.52,1149630,2006.0,eng
50,Where the Sidewalk Ends,Shel Silverstein,4.29,1016888,1974.0,eng
51,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.12,1154031,2007.0,eng
52,"Eclipse (Twilight, #3)",Stephenie Meyer,3.69,1134511,2007.0,en-US
53,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.86,1104021,2002.0,en-US
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.2,936782,1979.0,en-US
55,Brave New World,Aldous Huxley,3.97,1022601,1932.0,eng
56,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,3.7,1070245,2008.0,en-US
57,The Secret Life of Bees,Sue Monk Kidd,4.01,916189,2001.0,en-US
58,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",3.8,953758,1884.0,eng
59,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",4.15,1064521,1952.0,eng
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.85,867553,2003.0,eng
61,The Girl on the Train,Paula Hawkins,3.88,1008778,2015.0,eng
62,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,3.94,953970,1995.0,eng
63,Wuthering Heights,"Emily Brontë, Richard J. Dunn",3.82,899195,1847.0,eng
64,My Sister's Keeper,Jodi Picoult,4.06,863879,2004.0,eng
65,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.06,846488,1969.0,eng
66,Gone with the Wind,Margaret Mitchell,4.28,873981,1936.0,eng
67,A Thousand Splendid Suns,Khaled Hosseini,4.34,818742,2007.0,eng
68,The Perks of Being a Wallflower,Stephen Chbosky,4.21,888806,1999.0,eng
69,"Insurgent (Divergent, #2)",Veronica Roth,4.07,836362,2012.0,eng
70,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,4.3,813439,1985.0,eng
71,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",3.75,808589,1818.0,eng
72,The Shining (The Shining #1),Stephen King,4.17,791850,1977.0,eng
73,"The Host (The Host, #1)",Stephenie Meyer,3.84,749780,2008.0,en-US
74,Looking for Alaska,John Green,4.09,783470,2005.0,eng
75,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,3.75,736498,1996.0,eng
76,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",4.06,738894,1811.0,eng
77,"Holes (Holes, #1)","Louis Sachar, Louis Sachar",3.93,747445,1998.0,eng
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,3.7,665930,2003.0,eng
79,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",3.73,670326,-720.0,eng
