book_id,title,authors,average_rating,ratings_count,original_publication_year,language_code,tag_string
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,4780653,2008.0,eng,to-read fantasy favorites currently-reading young-adult
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",4.44,4602479,1997.0,eng,to-read currently-reading fantasy favorites children
3,"Twilight (Twilight, #1)",Stephenie Meyer,3.57,3866839,2005.0,en-US,to-read favorites fantasy currently-reading young-adult
5,The Great Gatsby,F. Scott Fitzgerald,3.89,2683664,1925.0,eng,favorites fantasy currently-reading young-adult to-read
6,The Fault in Our Stars,John Green,4.26,2346404,2012.0,eng,fantasy young-adult fiction harry-potter owned
8,The Catcher in the Rye,J.D. Salinger,3.79,2044241,1951.0,eng,to-read favorites fantasy currently-reading harry-potter
10,Pride and Prejudice,Jane Austen,4.24,2035490,1813.0,eng,to-read favorites fantasy currently-reading fiction
11,The Kite Runner,Khaled Hosseini,4.26,1813044,2003.0,eng,to-read currently-reading science-fiction favorites sci-fi
13,1984,"George Orwell, Erich Fromm, Celâl Üster",4.14,1956832,1949.0,eng,to-read currently-reading favorites science-fiction sci-fi
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",4.46,1735368,2003.0,eng,to-read currently-reading history nonfiction favorites
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",4.53,1753043,2000.0,eng,travel non-fiction currently-reading to-read nonfiction
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",4.61,1746574,2007.0,eng,to-read humor nonfiction memoir essays
26,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.79,1447148,2003.0,eng,to-read travel non-fiction currently-reading nonfiction
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",4.54,1678823,2005.0,eng,to-read travel non-fiction currently-reading nonfiction
28,Lord of the Flies,William Golding,3.64,1605019,1954.0,eng,to-read travel non-fiction currently-reading nonfiction
29,Romeo and Juliet,"William Shakespeare, Robert           Jackson",3.73,1628519,1595.0,eng,to-read currently-reading non-fiction humor nonfiction
30,Gone Girl,Gillian Flynn,4.03,512475,2012.0,eng,to-read fiction classic fantasy series
33,Memoirs of a Geisha,Arthur Golden,4.08,1300209,1997.0,eng,to-read fantasy currently-reading favorites classics
34,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,1338493,2011.0,eng,fantasy to-read classics fiction books-i-own
36,"The Giver (The Giver, #1)",Lois Lowry,4.12,1296825,1993.0,eng,to-read fantasy tolkien art non-fiction
50,Where the Sidewalk Ends,Shel Silverstein,4.29,1016888,1974.0,eng,currently-reading young-adult fiction adventure favorites
67,A Thousand Splendid Suns,Khaled Hosseini,4.34,818742,2007.0,eng,to-read currently-reading historical-fiction pulitzer fiction
93,The Secret Garden,Frances Hodgson Burnett,4.12,639357,1911.0,eng,to-read classics childrens fiction currently-reading
98,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland",4.22,563994,2006.0,eng,to-read currently-reading parenting nonfiction baby
105,"Allegiant (Divergent, #3)",Veronica Roth,3.63,463257,2013.0,eng,science-fiction sci-fi fiction currently-reading dune
106,Bossypants,Tina Fey,3.94,506250,2011.0,eng,fiction fantasy science-fiction scifi owned
